COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
"ARAB SATELLITE COMMUNICATIONS ORGANIZATION","AB","0","13","0","0","13","1","0","0","1","14"
"ASIASAT CORP","AC","0","8","0","0","8","0","0","0","0","8"
"ALGERIA","ALG","0","5","0","0","5","0","0","0","0","5"
"ARGENTINA","ARGN","0","17","0","0","17","2","0","0","2","19"
"AUSTRIA","ASRA","0","3","0","0","3","0","0","0","0","3"
"AUSTRALIA","AUS","0","22","2","0","24","2","0","0","2","26"
"AZERBAIJAN","AZER","0","2","0","0","2","0","0","0","0","2"
"BELGIUM","BEL","0","3","0","0","3","0","0","0","0","3"
"BELARUS","BELA","0","2","0","0","2","0","0","0","0","2"
"BERMUDA","BERM","0","1","0","0","1","0","0","0","0","1"
"PEOPLES REPUBLIC OF BANGLADESH","BGD","0","1","0","0","1","0","0","0","0","1"
"Bulgaria","BGR","0","1","0","0","1","0","0","0","0","1"
"BOLIVIA","BOL","0","1","0","0","1","0","0","0","0","1"
"BRAZIL","BRAZ","0","17","0","0","17","3","0","0","3","20"
"CANADA","CA","0","47","0","5","52","1","0","2","3","55"
"PEOPLES REPUBLIC OF CHINA/BRAZIL","CHBZ","0","3","0","53","56","0","0","34","34","90"
"CHILE","CHLE","0","3","0","0","3","0","0","0","0","3"
"COMMONWEALTH OF INDEPENDENT STATES","CIS","1","1515","1032","3965","6513","2017","2839","10266","15122","21635"
"COLOMBIA","COL","0","1","0","0","1","0","0","0","0","1"
"CZECHOSLOVAKIA","CZCH","0","6","0","0","6","2","0","0","2","8"
"DENMARK","DEN","0","8","0","0","8","2","0","0","2","10"
"ECUADOR","ECU","0","2","0","0","2","0","0","0","0","2"
"EGYPT","EGYP","0","5","0","0","5","0","0","0","0","5"
"EUROPEAN SPACE AGENCY","ESA","0","77","6","51","134","13","8","24","45","179"
"EUROPEAN SPACE RESEARCH ORGANIZATION","ESRO","0","0","0","0","0","7","0","3","10","10"
"ESTONIA","EST","0","1","0","0","1","0","0","0","0","1"
"EUROPEAN ORGANIZATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES","EUME","0","8","0","8","16","0","0","0","0","16"
"EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION (EUTELSAT)","EUTE","0","54","0","0","54","0","0","0","0","54"
"FRANCE/GERMANY","FGER","0","2","0","0","2","0","0","0","0","2"
"FINLAND","FIN","0","1","0","0","1","0","0","0","0","1"
"FRANCE","FR","0","63","151","332","546","9","78","637","724","1270"
"FRANCE/ITALY","FRIT","0","2","0","0","2","0","0","0","0","2"
"GERMANY","GER","0","54","0","1","55","16","0","1","17","72"
"REPUBLIC OF GHANA","GHA","0","1","0","0","1","0","0","0","0","1"
"GLOBALSTAR","GLOB","0","84","0","1","85","0","0","1","1","86"
"GREECE","GREC","0","4","0","0","4","0","0","0","0","4"
"HUNGARY","HUN","0","0","0","0","0","1","0","0","1","1"
"INTERNATIONAL MARITIME SATELLITE ORGANIZATION (INMARSAT)","IM","0","17","0","0","17","0","0","0","0","17"
"INDIA","IND","0","85","36","81","202","10","14","310","334","536"
"INDONESIA","INDO","0","16","0","0","16","1","0","0","1","17"
"IRAN","IRAN","0","1","0","0","1","4","4","0","8","9"
"IRAQ","IRAQ","0","1","0","0","1","0","0","0","0","1"
"ISRAEL","ISRA","0","17","0","0","17","4","8","0","12","29"
"INTERNATIONAL SPACE STATION","ISS","0","5","0","1","6","1","0","93","94","100"
"ITALY","IT","0","27","2","1","30","12","0","1","13","43"
"INTERNATIONAL TELECOMMUNICATIONS SATELLITE ORGANIZATION (INTELSAT)","ITSO","0","89","0","0","89","1","0","0","1","90"
"JAPAN","JPN","0","168","54","43","265","54","64","168","286","551"
"KAZAKHSTAN","KAZ","0","6","0","0","6","0","0","0","0","6"
"LAOS","LAOS","0","1","0","0","1","0","0","0","0","1"
"LITHUANIA","LTU","0","1","0","0","1","2","0","0","2","3"
"LUXEMBOURG","LUXE","0","1","0","0","1","1","0","0","1","2"
"Morocco","MA","0","1","0","0","1","0","0","0","0","1"
"MALAYSIA","MALA","0","7","0","0","7","0","0","0","0","7"
"MEXICO","MEX","0","9","0","0","9","0","0","0","0","9"
"MONGOLIA","MNG","0","1","0","0","1","0","0","0","0","1"
"NORTH ATLANTIC TREATY ORGANIZATION","NATO","0","8","0","0","8","0","0","0","0","8"
"NETHERLANDS","NETH","0","6","0","0","6","1","0","0","1","7"
"NEW ICO","NICO","0","1","0","0","1","0","0","0","0","1"
"NIGERIA","NIG","0","6","0","0","6","0","0","0","0","6"
"NORTH KOREA","NKOR","0","2","2","2","6","0","0","0","0","6"
"NORWAY","NOR","0","9","0","0","9","0","0","0","0","9"
"O3B NETWORKS","O3B","0","12","0","0","12","0","0","0","0","12"
"ORBITAL TELECOMMUNICATIONS SATELLITE (GLOBALSTAR)","ORB","0","58","0","0","58","1","0","0","1","59"
"PAKISTAN","PAKI","0","4","0","0","4","1","0","0","1","5"
"PERU","PER","0","2","0","0","2","2","0","0","2","4"
"POLAND","POL","0","2","0","0","2","1","0","0","1","3"
"PORTUGAL","POR","0","1","0","0","1","0","0","0","0","1"
"PEOPLES REPUBLIC OF CHINA","PRC","3","264","112","3474","3853","83","141","1084","1308","5161"
"REGIONAL AFRICAN SATELLITE COMMUNICATIONS ORG","RASC","0","2","0","0","2","0","0","0","0","2"
"REPUBLIC OF CHINA (TAIWAN)","ROC","0","10","0","0","10","0","0","0","0","10"
"ROMANIA","ROM","0","0","0","0","0","1","0","0","1","1"
"REPUBLIC OF PHILIPPINES","RP","0","2","0","0","2","0","0","0","0","2"
"SOUTH AFRICA","SAFR","0","6","0","0","6","0","0","0","0","6"
"SAUDI ARABIA","SAUD","0","13","0","0","13","0","0","0","0","13"
"SEA LAUNCH DEMO","SEAL","0","1","30","3","34","0","3","0","3","37"
"SOCIÉTÉ EUROPÉENNE DES SATELLITES","SES","0","58","0","0","58","1","0","0","1","59"
"SINGAPORE","SING","0","11","0","0","11","0","0","0","0","11"
"SOUTH KOREA","SKOR","0","22","1","0","23","1","0","0","1","24"
"SPAIN","SPN","0","22","0","0","22","2","0","0","2","24"
"SINGAPORE/TAIWAN","STCT","0","2","0","0","2","0","0","0","0","2"
"SWEDEN","SWED","0","12","0","0","12","0","0","0","0","12"
"SWITZERLAND","SWTZ","0","2","0","0","2","0","0","0","0","2"
"TO BE DETERMINED/UNKNOWN","TBD","9","6","0","0","15","0","0","0","0","15"
"THAILAND","THAI","0","9","0","0","9","0","0","0","0","9"
"TURKMENISTAN/MONACO","TMMC","0","1","0","0","1","0","0","0","0","1"
"TURKEY","TURK","0","14","0","0","14","0","0","0","0","14"
"UNITED ARAB EMIRATES","UAE","0","8","0","0","8","0","0","0","0","8"
"UNITED KINGDOM","UK","0","41","1","0","42","10","0","4","14","56"
"UKRAINE","UKR","0","5","2","0","7","2","0","0","2","9"
"URUGUAY","URY","0","1","0","0","1","0","0","0","0","1"
"UNITED STATES OF AMERICA","US","5","1541","688","4000","6234","985","668","4498","6151","12385"
"UNITED STATES/BRAZIL","USBZ","0","1","0","0","1","0","0","0","0","1"
"VENEZUELA","VENZ","0","3","0","0","3","0","0","0","0","3"
"VIETNAM","VTNM","0","3","0","0","3","2","0","0","2","5"
"ALL","ALL","18","4661","2119","12021","18819","3259","3827","17126","24212","43031"
